Species1,Species,Genus,DrySeedStdValue,HeightStdValue,NitrogenStdValue,PhosphorusStdValue,StemStdValue
Cocculus carolinus,Cocculus carolinus,Cocculus,8.075,2,NA,NA,NA
Cochlospermum tinctorium,Cochlospermum tinctorium,Cochlospermum,24.33,9.877777778,16.86312572,1.046672444,0.108652405
Cochlospermum planchonii,Cochlospermum planchonii,Cochlospermum,37.83,9.877777778,15.54317091,1.135219855,0.108652405
Coelorachis cylindrica,Coelorachis cylindrica,Coelorachis,6.362301274,0.97536,6.044444444,NA,NA
Cologania angustifolia,Cologania angustifolia,Cologania,6.856,0.136,38.112,2.916666667,NA
Comandra umbellata,Comandra umbellata,Comandra,89.122,0.243185185,20.6169375,NA,NA
Combretum hereroense,Combretum hereroense,Combretum,69.46857143,10,16.6,1.066666667,0.057498249
Comesperma calymega,Comesperma calymega,Comesperma,1.329294118,0.2,14.1,0.76,NA
Comesperma virgatum,Comesperma virgatum,Comesperma,1.329294118,0.2,14.1,0.76,NA
Commelina dianthifolia,Commelina dianthifolia,Commelina,2.722,0.433627692,20.99,2.391428571,NA
Commelina benghalensis,Commelina benghalensis,Commelina,7.474537824,0.433627692,25.93,3.3,NA
Commelina,Commelina,Commelina,7.474537824,0.433627692,20.99,2.391428571,NA
Commelina forskaolii,Commelina forskaolii,Commelina,7.474537824,0.433627692,20.99,2.391428571,NA
Commelina africana,Commelina africana,Commelina,7.474537824,0.433627692,20.99,2.391428571,NA
Commelina erecta,Commelina erecta,Commelina,11.47,0.348269231,12.36,2.391428571,NA
Commicarpus pentandrus,Commicarpus pentandrus,Commicarpus,6.5,5,NA,NA,NA
Comptonia peregrina,Comptonia peregrina,Comptonia,15.09661836,0.6096,21.55,0.894826088,NA
Condalia microphylla,Condalia microphylla,Condalia,33,7.62,24.004,NA,NA
Conoclinium coelestinum,Conoclinium coelestinum,Conoclinium,0.140986473,0.685893333,NA,NA,NA
Conospermum capitatum,Conospermum capitatum,Conospermum,3.875854545,0.5,8.12625,0.418125,0.004214375
Conostylis aculeata,Conostylis aculeata,Conostylis,0.495333333,0.4,9.93897336,0.296,NA
Conostylis setigera,Conostylis setigera,Conostylis,0.495333333,0.4,9.93897336,0.296,NA
Conyza canadensis,Conyza canadensis,Conyza,0.083229508,0.876887879,22.33333333,3.443333333,NA
Corchorus asplenifolius,Corchorus asplenifolius,Corchorus,1.025941057,1.084210526,NA,NA,NA
Coreopsis,Coreopsis,Coreopsis,1.326827446,0.321798658,16.62371133,1.822857143,0.00224
Coreopsis palmata,Coreopsis palmata,Coreopsis,1.988444444,0.498636364,15.3528713,1.4,0.00224
Cornus drummondii,Cornus drummondii,Cornus,44.83450081,4.188547846,18.20931196,1.93900374,0.061
Cornus florida,Cornus florida,Cornus,108.5734255,7.297424,15.350938,1.367510476,0.045867638
Corymbia calophylla,Corymbia calophylla,Corymbia,109.8190954,40,9.975,0.5,0.309431913
Crabbea hirsuta,Crabbea hirsuta,Crabbea,3.87,0.25,NA,NA,NA
Crassenea romania,Crassenea romania,Crassenea,3.87,0.25,NA,NA,NA
Crataegus viridis,Crataegus viridis,Crataegus,22.64492754,9.144,18.23070204,1.533123288,0.03455
Crataegus,Crataegus,Crataegus,108.9939005,10,18.23070204,1.533123288,0.03455
Crataegus flava,Crataegus flava,Crataegus,108.9939005,6.7017685,18.23070204,1.533123288,0.03455
Crataegus crus-galli,Crataegus crus-galli,Crataegus,121.3718092,9.603555556,18.23070204,1.533123288,0.03455
Crinum ornatum,Crinum ornatum,Crinum,NA,1.5,13.65,1.6815,NA
Crinum moorei,Crinum moorei,Crinum,NA,1.5,13.65,1.6815,NA
Crinum,Crinum,Crinum,NA,1.5,13.65,1.6815,NA
Crotalaria sphaerocarpa,Crotalaria sphaerocarpa,Crotalaria,3.05,0.775,34.49040031,4.2,NA
Crotalaria virgulata,Crotalaria virgulata,Crotalaria,3.5,1.425,34.49040031,4.2,NA
Crotalaria,Crotalaria,Crotalaria,4.3,0.25,34.49040031,4.2,NA
Crotalaria sagittalis,Crotalaria sagittalis,Crotalaria,5.860833333,0.249428571,34.49040031,4.2,NA
Crotalaria naragutensis,Crotalaria naragutensis,Crotalaria,9.97,0.916876866,34.49040031,4.2,NA
Crotalaria spectabilis,Crotalaria spectabilis,Crotalaria,16.49348369,1.524,34.49040031,4.2,NA
Crotalaria podocarpa,Crotalaria podocarpa,Crotalaria,20.79,0.7,34.49040031,4.2,NA
Crotalaria rotundifolia,Crotalaria rotundifolia,Crotalaria,26.61649613,0.916876866,34.49040031,4.2,NA
Crotalaria purshii,Crotalaria purshii,Crotalaria,26.61649613,0.916876866,34.49040031,4.2,NA
Croton glandulosus,Croton glandulosus,Croton,8.1,0.7,31.31159413,1.661574251,0.118583827
Croton monanthogynus,Croton monanthogynus,Croton,9.242644068,0.21,20.59,1.661574251,0.118583827
Croton argyranthemus,Croton argyranthemus,Croton,83.91794232,5.604649017,31.31159413,1.661574251,0.118583827
Ctenium aromaticum,Ctenium aromaticum,Ctenium,0.353333333,1.066666667,NA,0.4,NA
Cucumis zeyheri,Cucumis zeyheri,Cucumis,10.84,2.541666667,NA,NA,NA
Cucumis hirsutus,Cucumis hirsutus,Cucumis,11.63811804,2.541666667,NA,NA,NA
Cucumis metuliferus,Cucumis metuliferus,Cucumis,13.02,2.541666667,NA,NA,NA
Curculigo pilosa,Curculigo pilosa,Curculigo,NA,0.255,NA,NA,NA
Cuscuta indecora,Cuscuta indecora,Cuscuta,1.254586061,0.878372093,NA,NA,NA
Cyanotis lanata,Cyanotis lanata,Cyanotis,0.736666667,0.12,NA,NA,NA
Cyanotis speciosa,Cyanotis speciosa,Cyanotis,0.82,0.12,NA,NA,NA
Cymbopogon nardus,Cymbopogon nardus,Cymbopogon,1.568153846,2.4,12.9112,NA,NA
Cymbopogon schoenanthus,Cymbopogon schoenanthus,Cymbopogon,1.63,1.439058824,12.9112,NA,NA
Cymbopogon caesius,Cymbopogon caesius,Cymbopogon,1.74,1.5028,17.34,NA,NA
Cymopterus lemmonii,Cymopterus lemmonii,Cymopterus,5.356211538,0.025764706,21.29142857,NA,NA
Cynoglossum hispidum,Cynoglossum hispidum,Cynoglossum,21.71792727,0.710614035,12.86379675,NA,NA
Cyperus echinatus,Cyperus echinatus,Cyperus,0.177,0.7,9.570390847,0.332,NA
Cyperus lupulinus,Cyperus lupulinus,Cyperus,0.342326177,0.340066341,10.34,0.332,NA
Cyperus mutisii,Cyperus mutisii,Cyperus,0.342326177,0.340066341,9.570390847,0.332,NA
Cyperus plukenetii,Cyperus plukenetii,Cyperus,0.342326177,0.340066341,9.570390847,0.332,NA
Cyperus retrorsus,Cyperus retrorsus,Cyperus,0.342326177,0.340066341,9.570390847,0.332,NA
Cyperus,Cyperus,Cyperus,0.35,0.220454545,10.89554309,0.332,NA
Cyperus filiculmis,Cyperus filiculmis,Cyperus,0.591,0.6,9.570390847,0.332,NA
Cyperus fendlerianus,Cyperus fendlerianus,Cyperus,0.771,0.340066341,16.66,0.38,NA
Cyrilla racemiflora,Cyrilla racemiflora,Cyrilla,123,3.459284211,11.77403846,0.526087363,NA
Cystopteris bulbifera,Cystopteris bulbifera,Cystopteris,NA,0.245612245,33.335,NA,NA
Dactyloctenium aegyptium,Dactyloctenium aegyptium,Dactyloctenium,0.254111111,0.85,20.75,NA,NA
Dalea carnea,Dalea carnea,Dalea,0.7,0.487134118,28.78531878,1.44,0.002164286
Dalea purpurea,Dalea purpurea,Dalea,1.113628986,0.411584416,21.14333333,1.44,0.0021375
Dalea candida,Dalea candida,Dalea,1.708006965,0.487134118,29.525,1.44,0.0022
Dalea pinnata,Dalea pinnata,Dalea,1.749665092,0.487134118,28.78531878,1.44,0.002164286
Dampiera alata,Dampiera alata,Dampiera,4.6344,0.329,NA,NA,NA
Dampiera linearis,Dampiera linearis,Dampiera,4.6344,0.329,NA,NA,NA
Danthonia,Danthonia,Danthonia,0.324,0.2,18.1,2.1,0.001471429
Danthonia spicata,Danthonia spicata,Danthonia,0.5932,0.439545455,8.2,1.2,0.001471429
Daviesia incrassata,Daviesia incrassata,Daviesia,9.747100372,0.5,8.5,0.3,NA
Daviesia preissii,Daviesia preissii,Daviesia,26.07,0.5,9.7,0.9,NA
Delphinium carolinianum,Delphinium carolinianum,Delphinium,0.61634321,0.526111111,28.5,1.50085648,NA
Desmocladus fasciculatus,Desmocladus fasciculatus,Desmocladus,NA,0.4,NA,NA,NA
Desmocladus flexuosus,Desmocladus flexuosus,Desmocladus,NA,0.4,NA,NA,NA
Desmodium,Desmodium,Desmodium,1.47,0.1,44.80454545,1.235843333,0.000909091
Desmodium perplexum,Desmodium perplexum,Desmodium,2.264492754,1.2192,32.8789011,1.69523,0.001041667
Desmodium rigidum,Desmodium rigidum,Desmodium,2.537,0.9,32.8789011,1.69523,0.001041667
Desmodium ciliare,Desmodium ciliare,Desmodium,2.655,0.591,32.8789011,1.69523,0.001041667
Desmodium paniculatum,Desmodium paniculatum,Desmodium,3.099249275,0.9572,30.17,1.69523,0.001041667
Desmodium nuttallii,Desmodium nuttallii,Desmodium,4.224985977,0.854410405,32.8789011,1.69523,0.001041667
Desmodium laevigatum,Desmodium laevigatum,Desmodium,4.224985977,0.854410405,32.8789011,1.69523,0.001041667
Desmodium marilandicum,Desmodium marilandicum,Desmodium,4.224985977,0.854410405,32.8789011,1.69523,0.001041667
Desmodium strictum,Desmodium strictum,Desmodium,4.224985977,0.854410405,32.8789011,1.69523,0.001041667
Desmodium rotundifolium,Desmodium rotundifolium,Desmodium,4.224985977,0.854410405,32.8789011,1.69523,0.001041667
Desmodium glabellum,Desmodium glabellum,Desmodium,4.224985977,0.854410405,32.8789011,1.69523,0.001041667
Desmodium lineatum,Desmodium lineatum,Desmodium,4.224985977,0.854410405,32.8789011,1.69523,0.001041667
Desmodium floridanum,Desmodium floridanum,Desmodium,4.224985977,0.854410405,32.8789011,1.69523,0.001041667
Desmodium viridiflorum,Desmodium viridiflorum,Desmodium,4.224985977,0.854410405,32.8789011,1.69523,0.001041667
Desmodium obtusum,Desmodium obtusum,Desmodium,4.224985977,0.854410405,32.8789011,1.69523,0.001041667
Desmodium fernaldii,Desmodium fernaldii,Desmodium,4.224985977,0.854410405,32.8789011,1.69523,0.001041667
Desmodium dillenii,Desmodium dillenii,Desmodium,5.343833333,0.6,32.8789011,1.69523,0.001041667
Dianella revoluta,Dianella revoluta,Dianella,5.73625,0.8,NA,NA,NA
Dicerandra linearifolia,Dicerandra linearifolia,Dicerandra,NA,0.664,NA,NA,NA
Dichanthelium,Dichanthelium,Dichanthelium,1.4,0.406666667,15,NA,NA
Dichanthelium acuminatum,Dichanthelium acuminatum,Dichanthelium,1.4,0.406666667,15,NA,NA
Dichanthelium clandestinum,Dichanthelium clandestinum,Dichanthelium,1.4,0.406666667,15,NA,NA
Dichanthelium linearifolium,Dichanthelium linearifolium,Dichanthelium,1.4,0.406666667,15,NA,NA
Dichanthelium aciculare,Dichanthelium aciculare,Dichanthelium,1.4,0.406666667,15,NA,NA
Dichanthelium commutatum,Dichanthelium commutatum,Dichanthelium,1.4,0.406666667,15,NA,NA
Dichanthelium ovale,Dichanthelium ovale,Dichanthelium,1.4,0.406666667,15,NA,NA
Dichanthelium oligosanthes,Dichanthelium oligosanthes,Dichanthelium,1.4,0.406666667,15,NA,NA
Dichanthelium ravenelii,Dichanthelium ravenelii,Dichanthelium,1.4,0.406666667,15,NA,NA
Dichanthelium dichotomum,Dichanthelium dichotomum,Dichanthelium,1.4,0.406666667,15,NA,NA
Dichanthelium strigosum,Dichanthelium strigosum,Dichanthelium,1.4,0.406666667,15,NA,NA
Dichanthelium sphaerocarpon,Dichanthelium sphaerocarpon,Dichanthelium,1.4,0.406666667,15,NA,NA
Dichanthelium portoricense,Dichanthelium portoricense,Dichanthelium,1.4,0.406666667,15,NA,NA
Dichanthelium ensifolium,Dichanthelium ensifolium,Dichanthelium,1.4,0.406666667,15,NA,NA
Dichanthelium laxiflorum,Dichanthelium laxiflorum,Dichanthelium,1.4,0.406666667,15,NA,NA
Dicoma tomentosa,Dicoma tomentosa,Dicoma,3.03,0.405,NA,NA,NA
Dicranum undulatum,Dicranum undulatum,Dicranum,NA,0.1,NA,NA,NA
Digitaria villosa,Digitaria villosa,Digitaria,0.569752536,0.3781039,17.78216356,1.4025,NA
Digitaria horizontalis,Digitaria horizontalis,Digitaria,0.663333333,0.3781039,17.78216356,1.4025,NA
Digitaria eriantha,Digitaria eriantha,Digitaria,0.87,0.63132,16.65822902,0.805,NA
Diheteropogon hagerupii,Diheteropogon hagerupii,Diheteropogon,3.13,1.192857143,10.63333333,0.3,NA
Diheteropogon amplectens,Diheteropogon amplectens,Diheteropogon,3.55,1.8,10.63333333,0.3,NA
Diodia teres,Diodia teres,Diodia,NA,0.285,NA,NA,NA
Dioscorea villosa,Dioscorea villosa,Dioscorea,10.7,5,24.4561894,2.046091359,0.001
Dioscorea quaternata,Dioscorea quaternata,Dioscorea,11.53636364,2.175220588,24.4561894,2.046091359,0.001
Dioscorea dumetorum,Dioscorea dumetorum,Dioscorea,11.53636364,2.175220588,24.4561894,2.046091359,0.001
Diospyros virginiana,Diospyros virginiana,Diospyros,335.5767743,15.92548889,28.2,1.7,0.097239151
Ditrysinia fruticosa,Ditrysinia fruticosa,Ditrysinia,37,2.5,NA,NA,NA
Dodecatheon meadia,Dodecatheon meadia,Dodecatheon,0.228919103,0.108633962,25.0325,NA,NA
Dolichos trilobus,Dolichos trilobus,Dolichos,69.76,0.826315789,NA,NA,NA
Draba asprella,Draba asprella,Draba,0.09,0.014,9.4,1,NA
Drymaria leptophylla,Drymaria leptophylla,Drymaria,0.033,0.028,NA,1.69,NA
Dyschoriste oblongifolia,Dyschoriste oblongifolia,Dyschoriste,6.165,0.3048,NA,NA,NA
Echeandia flavescens,Echeandia flavescens,Echeandia,1.113,0.2365,23.964,2.37,NA
Echinacea pallida,Echinacea pallida,Echinacea,5.197542612,0.33528,18.62972,NA,NA
Echinacea angustifolia,Echinacea angustifolia,Echinacea,124.6374,0.443879506,16.85,NA,NA
Ehretia rigida,Ehretia rigida,Ehretia,6.4,6,26.31216667,1.200848,NA
Eleocharis,Eleocharis,Eleocharis,0.556368721,0.28,10.3,0.431,NA
Eleocharis lanceolata,Eleocharis lanceolata,Eleocharis,0.556368721,0.420362325,17.76609636,1.806057974,NA
Elephantopus carolinianus,Elephantopus carolinianus,Elephantopus,1.075374396,0.82296,16.245,2.5,NA
Elephantopus tomentosus,Elephantopus tomentosus,Elephantopus,1.41331243,0.614573996,13.99,2.9,NA
Elephantopus elatus,Elephantopus elatus,Elephantopus,1.41331243,0.614573996,16.245,2.5,NA
Elionurus ciliaris,Elionurus ciliaris,Elionurus,0.47,1.191188525,9.633333333,NA,NA
Elionurus elegans,Elionurus elegans,Elionurus,1.26,1.191188525,9.633333333,NA,NA
Elionurus muticus,Elionurus muticus,Elionurus,1.825,0.732377049,9.633333333,NA,NA
Elionurus tripsacoides,Elionurus tripsacoides,Elionurus,1.825,1.5,9.633333333,NA,NA
Elymus smithii,Elymus smithii,Elymus,3.053237799,0.538581643,24.11190077,1.502714286,0.002521429
Elymus elymoides,Elymus elymoides,Elymus,3.702474436,0.336664151,19.66244178,1.541888889,0.002521429
Elymus canadensis,Elymus canadensis,Elymus,3.920673384,1.166176,27.338062,1.728526878,0.002755556
Elymus virginicus,Elymus virginicus,Elymus,4.497998792,0.920666667,37.86,1.728526878,0.002521429
Empetrum nigrum,Empetrum nigrum,Empetrum,4.765716667,0.328363265,11.17194021,1.025565889,NA
Enicostema axillare,Enicostema axillare,Enicostema,NA,0.175,NA,NA,NA
Enneapogon cenchroides,Enneapogon cenchroides,Enneapogon,0.228,0.575,14.125,NA,NA
Ephedra triandra,Ephedra triandra,Ephedra,25.19657699,0.739859375,14.21087694,1.249730478,NA
Ephedra ochreata,Ephedra ochreata,Ephedra,25.19657699,0.739859375,14.21087694,1.249730478,NA
Epilobium brachycarpum,Epilobium brachycarpum,Epilobium,0.3184375,0.286,30.04571429,3.81,0.00907
Equisetum sylvaticum,Equisetum sylvaticum,Equisetum,NA,0.385954667,17.0109328,0.761578509,0.00218
Eragrostis racemosa,Eragrostis racemosa,Eragrostis,0.07,0.9,12.15,1.565640279,0.00188
Eragrostis spectabilis,Eragrostis spectabilis,Eragrostis,0.09998267,0.279473846,12.52333333,1.565640279,0.00188
Eragrostis,Eragrostis,Eragrostis,0.111470565,0.25,9.5,1.565640279,0.00188
Eragrostis hirsuta,Eragrostis hirsuta,Eragrostis,0.111470565,0.570299562,16.08560435,1.565640279,0.00188
Eragrostis refracta,Eragrostis refracta,Eragrostis,0.111470565,0.570299562,16.08560435,1.565640279,0.00188
Eragrostis curvula,Eragrostis curvula,Eragrostis,0.206396505,0.655466667,12.64884921,1.565640279,0.00188
Eragrostis nindensis,Eragrostis nindensis,Eragrostis,0.28,0.8,16.08560435,1.565640279,0.00188
Eragrostis capensis,Eragrostis capensis,Eragrostis,0.34,1.2,14.05714286,1.565640279,0.00188
Eragrostis superba,Eragrostis superba,Eragrostis,0.963965744,0.70216,18.41826923,1.565640279,0.00188
Erechtites hieracifolia,Erechtites hieracifolia,Erechtites,0.284808333,1.041666667,17.7,NA,NA
Erechtites hieraciifolia,Erechtites hieraciifolia,Erechtites,0.284808333,1.041666667,17.7,NA,NA
Erechtites hieraciifolius,Erechtites hieraciifolius,Erechtites,0.350375,1.383333333,17.7,NA,NA
Erigeron divergens,Erigeron divergens,Erigeron,0.04225,0.159047619,19.276,1.18,0.002373415
Erigeron flagellaris,Erigeron flagellaris,Erigeron,0.048285714,0.036285714,10.54,1.543333333,0.002373415
Erigeron canadensis,Erigeron canadensis,Erigeron,0.065449948,0.598876984,28.55714286,3.9,0.0025
Erigeron bonariensis,Erigeron bonariensis,Erigeron,0.111028571,0.5015,20.2,2.646599381,0.002373415
Erigeron formosissimus,Erigeron formosissimus,Erigeron,0.165142857,0.110625,16.446,3.726666667,0.002373415
Erigeron speciosus,Erigeron speciosus,Erigeron,0.1896,0.319878049,37.78988067,2.846777401,0.002373415
Erigeron strigosus,Erigeron strigosus,Erigeron,0.495398551,0.633522222,24.635,2.646599381,0.002373415
Erigeron primulifolium,Erigeron primulifolium,Erigeron,100.5946253,0.13275,25.25954139,2.646599381,0.002373415
Erigeron,Erigeron,Erigeron,100.5946253,0.442,25.25954139,2.646599381,0.002373415
Erigeron tenuis,Erigeron tenuis,Erigeron,100.5946253,0.311037754,25.25954139,2.646599381,0.002373415
Erigeron tracyi,Erigeron tracyi,Erigeron,100.5946253,0.311037754,25.25954139,2.646599381,0.002373415
Erigeron floribundus,Erigeron floribundus,Erigeron,100.5946253,0.311037754,25.25954139,2.646599381,0.002373415
Eriocaulon lineare,Eriocaulon lineare,Eriocaulon,0.08952381,0.34812,21.63333333,0.798333333,NA
Eriogonum tomentosum,Eriogonum tomentosum,Eriogonum,1.439595401,0.238539048,19.13151515,0.92952381,NA
Eriogonum racemosum,Eriogonum racemosum,Eriogonum,3.076,0.0515,18.876,0.36,NA
Eriosema cordatum,Eriosema cordatum,Eriosema,15.91924051,0.777727273,27.2,NA,NA
Eriosema,Eriosema,Eriosema,15.91924051,2.5,27.2,NA,NA
Eriospermum abyssinicum,Eriospermum abyssinicum,Eriospermum,16.61,0.06,NA,NA,NA
Eryngium yuccifolium,Eryngium yuccifolium,Eryngium,3.49,0.4304,8.4,1.5,NA
Erythrina herbacea,Erythrina herbacea,Erythrina,283.5290909,4.8768,16.8,1.655816267,0.136333333
Erythronium albidum,Erythronium albidum,Erythronium,5.055352941,0.160192308,42,NA,NA
Eucalyptus megacarpa,Eucalyptus megacarpa,Eucalyptus,15.77356125,13.60627254,13.79842406,0.725701124,0.150124476
Eucalyptus marginata,Eucalyptus marginata,Eucalyptus,36.6,40,8.15,0.35,0.150124476
Euclasta condylotricha,Euclasta condylotricha,Euclasta,NA,1.5,NA,NA,NA
Eulophia ensata,Eulophia ensata,Eulophia,NA,0.65,NA,NA,NA
Euonymus americanus,Euonymus americanus,Euonymus,48.84194968,3.391096111,21.85969822,2.081809805,NA
Eupatorium capillifolium,Eupatorium capillifolium,Eupatorium,0.21,0.814420118,11.375,0.708,NA
Eupatorium,Eupatorium,Eupatorium,0.263932911,0.814420118,16.21534985,1.069244383,NA
Eupatorium hyssopifolium,Eupatorium hyssopifolium,Eupatorium,0.263932911,0.814420118,16.21534985,1.069244383,NA
Eupatorium compositifolium,Eupatorium compositifolium,Eupatorium,0.263932911,0.814420118,16.21534985,1.069244383,NA
Eupatorium linearifolium,Eupatorium linearifolium,Eupatorium,0.263932911,0.814420118,16.21534985,1.069244383,NA
Eupatorium album,Eupatorium album,Eupatorium,0.263932911,0.814420118,16.21534985,1.069244383,NA
Eupatorium semiserratum,Eupatorium semiserratum,Eupatorium,0.263932911,0.814420118,16.21534985,1.069244383,NA
Euphorbia hirta,Euphorbia hirta,Euphorbia,0.08,0.763025247,24.23738112,2.486583726,0.003388
Euphorbia serpyllifolia,Euphorbia serpyllifolia,Euphorbia,0.290555556,0.015277778,18.085,6.37,0.003388
Euphorbia nutans,Euphorbia nutans,Euphorbia,0.350444444,0.195155945,16.61,2.486583726,0.003388
Euphorbia spathulata,Euphorbia spathulata,Euphorbia,1.209307692,0.312,18.55,2.486583726,0.003388
Euphorbia hyssopifolia,Euphorbia hyssopifolia,Euphorbia,1.48,0.763025247,24.23738112,2.486583726,0.003388
Euphorbia brachycera,Euphorbia brachycera,Euphorbia,3.175,0.208,21.132,2.906666667,0.003388
Euphorbia corollata,Euphorbia corollata,Euphorbia,4.202,0.35,12.44,1.9,0.003388
Euphorbia serpens,Euphorbia serpens,Euphorbia,9.545486576,0.763025247,20.09,2.486583726,0.003388
Euphorbia,Euphorbia,Euphorbia,9.545486576,0.296666667,20.10459184,2.486583726,0.003388
Euphorbia pubentissima,Euphorbia pubentissima,Euphorbia,9.545486576,0.763025247,24.23738112,2.486583726,0.003388
Euphorbia marginata,Euphorbia marginata,Euphorbia,10.99294118,0.763025247,20.14,2.486583726,0.003388
Eustachys paspaloides,Eustachys paspaloides,Eustachys,0.09,0.8,NA,NA,NA
Eustachys floridana,Eustachys floridana,Eustachys,0.157692308,0.8,NA,NA,NA
Eutaxia virgata,Eutaxia virgata,Eutaxia,3.067,0.525,16.70894132,0.761966022,NA
Euthamia graminifolia,Euthamia graminifolia,Euthamia,0.109,0.719605785,19.29314553,NA,NA
Evolvulus alsinoides,Evolvulus alsinoides,Evolvulus,0.779131221,0.45,23.59333333,3,NA
Evolvulus,Evolvulus,Evolvulus,3.496743655,0.133815506,23.59333333,3,NA
Fabaceae,Fabaceae,Fabaceae,40,0.05,24.99161445,NA,NA
Festuca arizonica,Festuca arizonica,Festuca,0.81725947,0.3384,12.74428571,2.26,0.002268
Fimbristylis ovata,Fimbristylis ovata,Fimbristylis,0.471324385,0.180306452,NA,NA,NA
Fleischmannia incarnata,Fleischmannia incarnata,Fleischmannia,NA,2,26,NA,NA
Floerkea proserpinacoides,Floerkea proserpinacoides,Floerkea,3.643,0.4,NA,NA,NA
Flueggea virosa,Flueggea virosa,Flueggea,2.78,5.4,39.42681479,2.220705,NA
Fraxinus pennsylvanica,Fraxinus pennsylvanica,Fraxinus,30.00163036,7.956376309,17.34428571,2.052411657,0.1877
Fraxinus americana,Fraxinus americana,Fraxinus,38.63424311,7.1548128,23.5198344,2.083817976,0.216498529
Gahnia trifida,Gahnia trifida,Gahnia,1.4,1.388888889,4.2,0.15,NA
Galactia volubilis,Galactia volubilis,Galactia,8.733333333,0.388,25.690015,NA,NA
Galactia regularis,Galactia regularis,Galactia,13.818176,0.35920728,25.690015,NA,NA
Galactia erecta,Galactia erecta,Galactia,13.818176,0.35920728,25.690015,NA,NA
Galactia mollis,Galactia mollis,Galactia,13.818176,0.35920728,25.690015,NA,NA
Galium triflorum,Galium triflorum,Galium,0.782714286,0.254123331,17.88348424,2.166666667,0.000944595
Galium asprellum,Galium asprellum,Galium,0.905797101,1.79832,21.68251443,2.366940225,0.001188284
Galium concinnum,Galium concinnum,Galium,1.643,0.3,21.68251443,2.366940225,0.001188284
Galium pilosum,Galium pilosum,Galium,2.317382099,0.254123331,21.68251443,2.366940225,0.000937143
Galium,Galium,Galium,2.317382099,0.254123331,21.68251443,2.366940225,0.001188284
Galium hispidulum,Galium hispidulum,Galium,2.317382099,0.254123331,21.68251443,2.366940225,0.001188284
Galium uniflorum,Galium uniflorum,Galium,2.317382099,0.254123331,21.68251443,2.366940225,0.001188284
Galium circaezans,Galium circaezans,Galium,6.35,0.254123331,16.43,1.75,0.001188284
Galium aparine,Galium aparine,Galium,9.06285313,0.649844651,29.45428571,3.14,0.001188284
Gamochaeta purpurea,Gamochaeta purpurea,Gamochaeta,0.02,0.1,27,NA,NA
Gastrolobium bilobum,Gastrolobium bilobum,Gastrolobium,5.897142857,2.5,NA,NA,NA
Gaultheria procumbens,Gaultheria procumbens,Gaultheria,0.154800927,0.0881,10.96,1.04,9.00E-04
Gaura filipes,Gaura filipes,Gaura,8.359272727,0.689407407,17.805,NA,NA
Gaylussacia dumosa,Gaylussacia dumosa,Gaylussacia,1.244226788,0.15411,13.91410231,0.782284733,NA
Gaylussacia baccata,Gaylussacia baccata,Gaylussacia,1.5453036,1.26576,13.46481444,0.767744615,NA
Gaylussacia frondosa,Gaylussacia frondosa,Gaylussacia,1.566458146,0.58305,13.91410231,0.782284733,NA
Gayophytum racemosum,Gayophytum racemosum,Gayophytum,0.029,0.8,NA,NA,NA
Gelsemium sempervirens,Gelsemium sempervirens,Gelsemium,NA,12,NA,NA,NA
Gentiana,Gentiana,Gentiana,52.39586384,0.05,23.12115541,1.581214573,0.0035
Gentiana villosa,Gentiana villosa,Gentiana,52.39586384,0.225328667,23.12115541,1.581214573,0.0035
Geoffroea decorticans,Geoffroea decorticans,Geoffroea,3282.333333,8,NA,NA,NA
Geranium caespitosum,Geranium caespitosum,Geranium,2.494,0.238181818,18.22666667,1.97,0.002278333
Geranium maculatum,Geranium maculatum,Geranium,6.321111111,0.37,17.53333333,2.466666667,0.0027
Gerbera ambigua,Gerbera ambigua,Gerbera,2.262580645,0.3,NA,NA,NA
Geum triflorum,Geum triflorum,Geum,1.269743971,0.28524,14.44444444,2.17,0.003669091
Geum canadense,Geum canadense,Geum,5.574022398,0.522051429,12.08,1.7,0.003669091
Gilia aggregata,Gilia aggregata,Gilia,0.3815,1.016,16.5,NA,NA
Gisekia,Gisekia,Gisekia,0.278,0.2,NA,NA,NA
Glandularia canadensis,Glandularia canadensis,Glandularia,0.858933333,0.189044156,23.54,NA,NA
Gleditsia triacanthos,Gleditsia triacanthos,Gleditsia,164.1297028,33.292,29.72857143,2.922857143,NA
Glischrocaryon aureum,Glischrocaryon aureum,Glischrocaryon,6.16,1.5,NA,NA,NA
Gnidia caffra,Gnidia caffra,Gnidia,2.624,2,NA,NA,NA
Gompholobium knightianum,Gompholobium knightianum,Gompholobium,1.56,1.507342857,13.80509631,0.200347393,NA
Gompholobium tomentosum,Gompholobium tomentosum,Gompholobium,1.614285714,1.507342857,13.80509631,0.200347393,NA
Gompholobium marginatum,Gompholobium marginatum,Gompholobium,1.8625,1.507342857,13.80509631,0.200347393,NA
Gompholobium capitatum,Gompholobium capitatum,Gompholobium,17.45949412,1.507342857,13.80509631,0.200347393,NA
Gompholobium ovatum,Gompholobium ovatum,Gompholobium,17.45949412,1.507342857,13.80509631,0.200347393,NA
Gompholobium confertum,Gompholobium confertum,Gompholobium,17.45949412,1.507342857,13.80509631,0.200347393,NA
Gompholobium polymorphum,Gompholobium polymorphum,Gompholobium,17.45949412,1.507342857,13.80509631,0.200347393,NA
